Location,Hotel,Title,Review,Rating
"Denver, CO",Quality Inn & Suites Denver International Airport,Don’t waste your money,"It took us 35 mins just to check in as only 1 person was working, a/c leaked, toilet was leaking, table in room fell over when my child went to eat, blower dryer didn’t work.        Won’t stay again, parking sucked as they let people keep their cars here as they fly.",1
"Denver, CO",Quality Inn & Suites Denver International Airport,Good enough for the price,"After a missed connection I ended up here via my airline's helpline. There was a shuttle, which was helpful getting there along with a bunch of other stranded travelers. There were two clerks at the desk, one super helpful and quick, and the one who helped me, not so much. Shuttle times were extremely limited, especially considering the number of people stranded. The room was clean, but showing its age. By the time I got there, I was just glad not to be sleeping on the floor at DIA.",3
"Denver, CO",Quality Inn & Suites Denver International Airport,Basic airport lodging,This property is showing its age but it was clean and comfortable and that's really all we cared about. We live in Denver but were scheduled to fly out in a big snowstorm and wanted to be close to the airport the night before. We got a same-day reservation and had a comfortable stay here. There are restaurants nearby and it's a quick 5-7 miles or so to the airport. Breakast is your basic free breakfast. Nothing super great but for an airport hotel it was clean and suited our needs. They do have a shuttle to the hotel and onsite parking for a reasonable price if you want to leave your car there while you are away.,3
"Denver, CO",Quality Inn & Suites Denver International Airport,Management completely ignoerd my complaint.,"Customer service at the Quality Inn & Suites, Denver International Airport, Denver, Co. is deplorable. I am a 78-year-old Disabled Vietnam War Veteran and have been ignored, first by the General Manager, Mr. Tomo Kentera and then by the parent company Choice Hotels International, Inc, specifically the Mr. Steve Joyce the President and CEO of Choice Hotels which is a very major hotel chain. . In effort to return to California for a family funeral on, I purchased airline tickets for my wife and myself on Wednesday, Sept 7, 2019 for a flight from LaGuardia airport to Los Angeles departing on the same day. The flight was scheduled to depart at 5:15 pm with a plane change in Denver but was cancelled due to severe weather in the New York area. We were rebooked for the next day (Thursday, September 8) on the same flight but the plane was delayed for various reasons. The plane finally departed LaGuardia four hours late and arrived in Denver after the connecting flight to Los Angeles had departed.  We were basically stranded after midnight in Denver.  With the help of airline personnel, we found a grossly over-priced room at the Quality Inn & Suites some 10 miles away and checked in after 1:30 am. We finally slept at 2:15 am and arose at 7:00 am to catch our onward flight.  The next morning upon check out I complained about the non-working lighting system in the room to the clerk on duty (Denise) and asked for some sort of compensation. She said she could take down the information and have the lighting problem fixed, which obviously did not help us since we were checking out. I asked to speak to a manager whereupon Denise said there wasn't one available and the General Manager would not be in until 3 pm. She was polite but seemed not to care in the least about any type of solution and did not even apologize for any inconvenience. I asked her again if she was sure the General Manager would not be available until 3 pm and there was no one else who could approve any type some sort of compensation. A few days later I sent an email  to the GM, Mr. Kentera. He did not respond, so I sent a second request five days later – also no response.  After being ignored by Mr. Kentera, I wrote to Mr. Steve Joyce but after two months I never received acknowledgment   of my complaint. I believe I am entitled to, at the very least, a response from someone, anyone, regarding this unprofessional event. It is equally disturbing to be totally ignored – on purpose.… (Thursday, September 8) on the same flight but the plane was delayed for various reasons. The plane finally departed LaGuardia four hours late and arrived in Denver after the connecting flight to Los Angeles had departed.  We were basically stranded after midnight in Denver.  With the help of airline personnel, we found a grossly over-priced room at the Quality Inn & Suites some 10 miles away and checked in after 1:30 am. We finally slept at 2:15 am and arose at 7:00 am to catch our onward flight.  The next morning upon check out I complained about the non-working lighting system in the room to the clerk on duty (Denise) and asked for some sort of compensation. She said she could take down the information and have the lighting problem fixed, which obviously did not help us since we were checking out. I asked to speak to a manager whereupon Denise said there wasn't one available and the General Manager would not be in until 3 pm. She was polite but seemed not to care in the least about any type of solution and did not even apologize for any inconvenience. I asked her again if she was sure the General Manager would not be available until 3 pm and there was no one else who could approve any type some sort of compensation. A few days later I sent an email  to the GM, Mr. Kentera. He did not respond, so I sent a second request five days later – also no response.  After being ignored by Mr. Kentera, I wrote to Mr. Steve Joyce but after two months I never received acknowledgment   of my complaint. I believe I am entitled to, at the very least, a response from someone, anyone, regarding this unprofessional event. It is equally disturbing to be totally ignored – on purpose.",1
"Denver, CO",Quality Inn & Suites Denver International Airport,The word airport shuttle service I’ve ever experienced,"First I want to say that I travel for a living spending 200 + nights a year in choice hotels. I have been a continuous Diamond member since 2004 and in 2017 earned over 1 million points in one calendar year. Over the past 15 years I’ve had a few bad stays and on occasion had to check out and leave a hotel a few minutes after checking in but I’ve never written a bad review. This is the first time I’ve been so aggravated that I’m using this platform to vent.    I arrived at Denver airport and while waiting for my luggage I called the Quality Inn and Suites to inquire where I should go to get the shuttle. This was at 11:41pm. While I was on the phone my bag appeared  and I followed the directions to door 505 island 3 Hotel pickup. This took about 3 minutes from my phone call. I waited approximately 20 minutes and called the front desk again asking if the shuttle was dispatched because only 2 shuttles came by in that time and I asked both drivers if they picked up for my hotel and they said “No”. I waited another 15 minutes and called the hotel again. I explained that it was now over 35 minutes and I was getting aggravated. I asked the clerk to call dispatch and please get them over here. He never gave an explanation or apologized for the inconvenience he told me that the shuttle was white in color and had just dropped off someone. I told him that absolutely no shuttle that was white or said western shuttle per his description had ever come past. This was now almost 12:15am and in this complete time only 3 shuttles came past and none were fir the Quality Inn. After 50 minutes I opened up my Uber app and while I was looking for the address of the hotel the shuttle finally pulled in. The shuttle was clearly marked “western shuttle” and Quality Inn was clearly listed on the side along with all the other hotels. This shuttle was not white but there was no doubt that this shuttle had never driven by. In the 50 minutes that I waited, this was only the 4th shuttle to come down the shuttle lane. I asked the driver why it took 50 + minutes and he said they don’t get dispatched they just drive around and around. I asked again saying that this was the first time he had been thru in 59 minutes and he offered no explanation . When I arrived at the hotel desk I asked the clerk how they could provide such a service. He did not apologize or offer any explanation. I told him that after my second phone call I would expect him to tell me that the circuit they drive picking up and dropping off for multiple hotel can take 45+ minutes. He offered no explanation or apology. I then realized that this clerk had no clue about customer service and how a simple apology could have prevented me from writing this. He then had the nerve to ask me if I needed a shuttle back to the airport in the morning. I just looked at him and told him “ I’ll take Uber“. I was thinking to myself  “this guy told me on 2 of my 3 phone calls that they don’t dispatch the shuttles they just “come around”! now he’s asking me if I need the shuttle in the morning. I place the blame directly on the Hotel Management for having a shuttle system that can have a guest standing at the curb for 50 minutes. I place the blame directly on management for having a hotel clerk that has absolutely no idea about good customer service. If a hotel offers a free shuttle service I would expect to be picked up within 20 minutes and if I call back to inquire About the delay I expect an apology for the inconvenience and if they are using a multi hotel shuttle service to explain that to me so I can decide if I should take Uber. I travel to Denver quite often but have always rented a car. Tonight’s trip was just a layover so no car was needed.  I have stayed in this hotel before and have no complaints about the room or other issues. I will be returning to Denver on the 11th of November for 4 nights and because of this situation I will never stay in this hotel again. Tomorrow I will also copy and past this review directly on the Choice Hotels web site. I hope that this review will prevent just a few customers that need to use the shuttle service to look elsewhere. Spend your money in another hotel.… waited approximately 20 minutes and called the front desk again asking if the shuttle was dispatched because only 2 shuttles came by in that time and I asked both drivers if they picked up for my hotel and they said “No”. I waited another 15 minutes and called the hotel again. I explained that it was now over 35 minutes and I was getting aggravated. I asked the clerk to call dispatch and please get them over here. He never gave an explanation or apologized for the inconvenience he told me that the shuttle was white in color and had just dropped off someone. I told him that absolutely no shuttle that was white or said western shuttle per his description had ever come past. This was now almost 12:15am and in this complete time only 3 shuttles came past and none were fir the Quality Inn. After 50 minutes I opened up my Uber app and while I was looking for the address of the hotel the shuttle finally pulled in. The shuttle was clearly marked “western shuttle” and Quality Inn was clearly listed on the side along with all the other hotels. This shuttle was not white but there was no doubt that this shuttle had never driven by. In the 50 minutes that I waited, this was only the 4th shuttle to come down the shuttle lane. I asked the driver why it took 50 + minutes and he said they don’t get dispatched they just drive around and around. I asked again saying that this was the first time he had been thru in 59 minutes and he offered no explanation . When I arrived at the hotel desk I asked the clerk how they could provide such a service. He did not apologize or offer any explanation. I told him that after my second phone call I would expect him to tell me that the circuit they drive picking up and dropping off for multiple hotel can take 45+ minutes. He offered no explanation or apology. I then realized that this clerk had no clue about customer service and how a simple apology could have prevented me from writing this. He then had the nerve to ask me if I needed a shuttle back to the airport in the morning. I just looked at him and told him “ I’ll take Uber“. I was thinking to myself  “this guy told me on 2 of my 3 phone calls that they don’t dispatch the shuttles they just “come around”! now he’s asking me if I need the shuttle in the morning. I place the blame directly on the Hotel Management for having a shuttle system that can have a guest standing at the curb for 50 minutes. I place the blame directly on management for having a hotel clerk that has absolutely no idea about good customer service. If a hotel offers a free shuttle service I would expect to be picked up within 20 minutes and if I call back to inquire About the delay I expect an apology for the inconvenience and if they are using a multi hotel shuttle service to explain that to me so I can decide if I should take Uber. I travel to Denver quite often but have always rented a car. Tonight’s trip was just a layover so no car was needed.  I have stayed in this hotel before and have no complaints about the room or other issues. I will be returning to Denver on the 11th of November for 4 nights and because of this situation I will never stay in this hotel again. Tomorrow I will also copy and past this review directly on the Choice Hotels web site. I hope that this review will prevent just a few customers that need to use the shuttle service to look elsewhere. Spend your money in another hotel.",1
"Denver, CO",Quality Inn & Suites Denver International Airport,Don’t waste your money,"It took us 35 mins just to check in as only 1 person was working, a/c leaked, toilet was leaking, table in room fell over when my child went to eat, blower dryer didn’t work.        Won’t stay again, parking sucked as they let people keep their cars here as they fly.",1
"Denver, CO",Quality Inn & Suites Denver International Airport,Great experience,"Shuttle to pick you up from airport.   Clean, welcoming,  helpful staff.  Close enough to restaurants to walk.  The whole neighborhood feels very safe.  The staff will make you comfortable and will  resolve any problems and answer any question",5
"Denver, CO",Quality Inn & Suites Denver International Airport,New Memories,"Very clean place. As soon as you walk in building the front desk are on it when it comes to the Coronavirus. (Always wear a mask).... Also very friendly staff, my main problem was that I had a scheduled ride back to airport and they never sent my reminder to my phone so I had to pay a uber to give me a ride. Wasn't too happy with that. Also I loved the rooms: they're pretty decent size, clean and well maintained.  DEFINITELY should stay at this hotel again",4
"Denver, CO",Quality Inn & Suites Denver International Airport,A Fabulous experience,"Our stay at Quality Inn & Suites Denver was exceptional. To Mario, Thank you so much for all of your help in our booking, the shuttle, and parking. In all my years of traveling I/we have never had someone take such great care of us. Our room was fabulous, our experience fantabulous.   I have to share that we used to stay at Quality Inns/Comfort Inns all.the time; however we stopped because the customer service and hotels/ rooms were so poor. Our faith was restored a bit by you and your attention to our needs, you are so very appreciated. ",5
"Denver, CO",Quality Inn & Suites Denver International Airport,Very convenient to airport,"This hotel seemed very clean and conscientious of covid safety protocol.  I felt safe staying here.  It was close to the airport which was what we needed.  I believe they offer a shuttle but we did not need that.  I was here in 6/2020 and during that time the pool was closed and breakfast was limited to bagel,juice & coffee.  The area around this hotel is nice and there are restaurants, gas stations & discount stores if you need to do any of that kind of thing.  The staff were friendly and all was fine w/ our stay during the time of covid.",5
