Location,Hotel,Title,Review,Rating
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Wish I could give 10 stars,We stayed here before taking a flight in the morning.  At this time the Gov of Colorado has arbitrarily shut down indoor dining in Denver (even tho we just came from a packed Beaver Creek). This hotel didn’t just shut down as it could have in the name of covid.  It maintained the fun things it offers as best as possible.  They still offered the free reception from 530 to 730 where one person from the room goes to the bar gets drinks and takes them back to the room.  In the morning there is still a wonderful delicious breakfast buffet the employee makes the meal for you and you take back to your room.  Credit to this hotel for being creative and doing its best to still offer great service.  This picture shows the beautiful spacious lobby that is normally hopping according to the bar tender. Also the suites are modern and have a door in case you have a snorer and need someone to sleep on the sleeper sofa.  Great job Embassy Suites!!!… bar tender. Also the suites are modern and have a door in case you have a snorer and need someone to sleep on the sleeper sofa.  Great job Embassy Suites!!!,5
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Really nice hotel - Great airport location,"This hotel is lovely.   It's great to do the park and ride option, where you leave your car in their lot.  If you get there in time, they have snacks (not fancy) and drinks in the evening.   They have an onsite restaurant.  And the rooms are very nice.  Prices are competitive.  Perfect for early morning flights.   We use this hotel often.  It saves being nervous about the 45 mile drive, getting to the airport on time, especially in the winter.  I highly recommend it.  Be sure to join Hilton rewards.",5
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Nicer since Renovation,"Denver Airport area Embassy Suites.   Due to a change in travel plans, we ended up needing a hotel near the airport for 2nights. Selected Embassy Suites because we needed to get some work done in the room, and the layout with the desk in the main room is easy for two people to work from.  Was during Covid, and this hotel did as well as any of the others we've stayed in.   Room was recently renovated and nice.   Only issue we had was the airport pickup...took over an hour to get picked up. We were told it was due to light staffing ""due to Covid""   Saw several flight crews also waiting for pickup at other hotels and they were having similar issues.  Recommend this hotel if staying near the airport, need some work space and if a renovated room.",4
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Dont stay at this hotel!,"What a horrible experience. Our flight was delayed so arrived around 11pm We went to three rooms,ALL DIRTY, we were told that we needed to wait 30 min while they cleaned our room, what? At 11pm. Finally found a clean room and got a king instead of 2 queens.",1
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Nightmare,"We called ahead to find a hotel near the airport.  We asked all the appropriate questions that are necessary due to Covid, such as the pool being open, restaurant in the hotel, etc.  When we arrived we were told there was no running water and the hotel is under constitution.  We were assigned a room.  We got to the room with all of our luggage and quite literally they were drilling and hammering in the adjoining room.  There was plaster dust on the railings and all over the carpet.  We went back down to the front desk where I expressed my concern over the room and the fact that we were not told about the lack of water and the construction. There was no apology offered or solution by the 'front desk manager' Kelly.  I had to ask for a different room.  This one was on the 7th floor.  Once again we transported our luggage back up.  As soon as we opened the door, the stench of stale smoke was overpowering (even though it was a non-smoking room).  At this point I was done.  We walked back down to the front desk and I told Kelly that I wanted refunded and we were leaving.  Again, no apology and no solution.  I asked to speak to the manager and was told he was on the phone.  We left and drove next door to the Tru by Hilton.  They at least had water and friendly staff.… floor.  Once again we transported our luggage back up.  As soon as we opened the door, the stench of stale smoke was overpowering (even though it was a non-smoking room).  At this point I was done.  We walked back down to the front desk and I told Kelly that I wanted refunded and we were leaving.  Again, no apology and no solution.  I asked to speak to the manager and was told he was on the phone.  We left and drove next door to the Tru by Hilton.  They at least had water and friendly staff.",1
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Not to standard,"As a frequent Hilton property guest, the Embassy Suites airport location is not up to standard. Our room was not thoroughly cleaned as expected due to Covid-19.  There were food droppings still on the carpet around the couch. In the main floor atrium sitting area, food droppings were in the carpet for most of the day. The hotel advertise that the rooms are being currently being remodeled with completion date of September 30.  I am assuming construction is behind schedule.  Front desk personal seemed disinterested in their jobs. Would not recommend this property.",2
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Would stay again,"Ended up staying two separate, single-night stays within our travels to the Denver area (one night planned, second unplanned). I called initially before booking the first night to inquire about their COVID protocols and to understand how they were operating under their states’ orders. Traveling from out of state for my first time since the virus first hit the US, I was quite anxious about it. The GM, Michael, was very patient with all my questions and even answered some I didn’t even ask. We were very happy with our first night’s stay, when we ended up having to stay a second night at the end of our trip, we knew we wanted to stay in the same hotel. Glad we did. I know there are changes they have had to make relative to the epidemic whether it relates to staff, dining options, etc. But I commend Michael and his team for the work they are putting in to get through this time. I recommend this hotel to anyone passing through the Denver area and looking for a convenient and pleasant option in proximity to the airport. We will definitely stay here again should we find ourselves back in the Denver area.",4
"Denver, CO",Embassy Suites by Hilton Denver International Airport,"Great Staff, Great Stay","Staff is nice, helpful and informative.  There was a large that came right after our check in.  I observed the staff as I was wanting for my husband to park car.  Staff was efficient and respectful and worked very quickly to get all through in timely fashion.  Very impressed",5
"Denver, CO",Embassy Suites by Hilton Denver International Airport,My Go To hotel in the Denver/Aurora area,"I travel to this area quite often and this hotel has become my go to.  It's always clean, the breakfast is great, and the location works well for me.  I'm a Hilton Honors member so I try to stay at Hilton as often as possible.",4
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Nobody Seems to Care,"Customer service is alright. House keeping is terrible. Found hairs all over sheets. Reported, but nothing was done about it. Managers don’t care about anything, especially the GM. One of the worst hotels I have ever stayed at.",1
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Birthday dreams,We decided to book two rooms adjoining and have my 14 year old's birthday party. The staff was extremely accommodating and allowed us to celebrate in the lobby. It was open but we felt like we had our own personal space. The kids enjoyed the pool. The staff also delivered a surprise dessert to my daughter and friends. They were very friendly and did some extra things for us. My daughter said her favorite part was the entire stay from check-in to check-out. Great place to have a birthday dream.,5
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Great place to hold business and training meetings,The hotel’s location being close to the airport and the diverse size of meeting/ conference rooms make it a great choice for business. The restaurant bar is an excellent addition. The only points I would like to see is coffee available all day and a lunch menu with smaller portions and lower price,5
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Nice big rooms.  ,"The rooms here are huge!  Fairly quiet so far.  Little things about this place bug me.  Broken hair dryer, key card system went haywire, shower curtain falling off the hooks and broken floor tiles.  The staff is friendly, nice restuarant and bar right in the middle.  Free breakfast had typical fare.  Had a managers reception each evening.  Not much food, but free drinks.",4
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Great Place to Attend A Meeting,We attended the annual general meeting for our pony society.  Service was great from when we were picked up at the airport and sent back.  Food was appropriate and tasty.  Room was clean and well maintained.,1
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Average stay,fire alarm was hanging from the wall.  The towels were extremely stiff from way too much bleach.  Took three times to get the digital key to work.  The location was convenient with respect to the airport,3
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Complimentary made-to-order breakfast,"This is the only hotel I've ever been in with a complimentary made-to-order breakfast. The other items offered were also excellent. The suites had two rooms with a coffee bar, desk and living room area in the first room. Very comfortable and having the bedroom away from the hall made it quiet for sleeping.",5
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Embassy suites wonderfull stay,In the past we have stayed at DoublTree located in Greenwood  Village which is a very nice property.   Since our flight w as leaving early in the am we decided to choose a property close to the airport  we  decided to try the Embassy Suites which is part of the hilton family.  We were so impressed that the next time in denver we stay at this property.  ,5
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Excellent customer service and room,Rooms are large. Hotel is very focused on hospitality. Great experience. Will be back. The dinner and happy hour was a great plus. Food was good portion and fresh. Everyone was so friendly and the shuttle to the airport is a big plus. Reserve your ride early.,5
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Need better communication ,We stay at this Embassy every time we fly out of DIA. We do so because of the parking. We stayed here in November of 2019 and parked for three weeks without a charge because we had a room before the flight and a room after the flight. This trip we were charged to park the night we stayed before the flight and was told we would be charged for 2 more days of parking when we return even with another nights reservation when we return. At the rate of the lodging it is now cheaper to stay at a different hotel and park at one of the shuttle lots,3
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Not worth staying at- poor quality and service,"We did not have heat in room and said they would switch our room to another king on same floor. When we went to other room there were 2 queens and no king. We wanted a king because we paid for king. They did not even offer to help move us. So we stayed in our king room with a small heater they brought us. It would have been nice if they helped us or offered us a credit. Also, we requested a wake up call so we would not miss our early flight the next day. Sebastian made a note of this and no wake up call as requested. I am so glad I figured out the alarm clock in the room. The staff was very poor and not too helpful. Very disappointed in this hotel and it was not the cleanest either. I usually love Embassy Suites but this hotel was not worth it overall and we were very…",2
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Colorado family trip.,Our one night stay before heading to Winter Park was great! Its close to the airport and a great starting point to the mountains.  The complimentary breakfast was more than what we expected!! Everyone we encountered at this hotel was very sweet!,5
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Excellent short stay,"Excellent location to the Denver airport, great service by a enthusiastic staff.  We had a very good dinner at the airport the night we checked in and all of us loved it and the breakfast was solid as well.  The room was clean and held three adults with no problems.  I would stay here again without hesitation",5
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Checks all the boxes,"Great property and friendly helpful staff.  Fresh and modern with all of our required amenities.  Close to Buckley so visiting with my son is super convenient. Easy access to the highway system for day trips to the Springs, downtown Denver, AND that ""gotta get to airport"" situation.",5
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Sad sad service but ok rooms and hotel,"The man checking us in was short and rude didn’t ever make eye contact. Never gave me water as a Hilton silver member, didn’t give me direction to the elevators.When I came back to get water he talked to another man about Disney and it being his favorite hotel chain FOR 15 minutes, I finally interrupted and asked for my water. He handed me a bag and didn’t make eye contact or anything and kept talking about Disney....",3
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Great location beautiful Views,Beautiful view of the front range from our room the hotel is very convenient when flying into or out of Denver international airport. Our shuttle driver was a delight and so friendly. We would stay at the hotel again when traveling to Denver.,1
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Convenient to Airport,"We stayed here the night before our early morning flight home.  The hotel was recently renovated, and our room was nice and clean.  We left very early in the morning, so we didn't get to have breakfast. There's a gate to get in and out of the parking lot, and we had trouble using our ticket each time we left the hotel.  Fortunately, there's a call button to the front desk, and they raised he gate remotely.",4
"Denver, CO",Embassy Suites by Hilton Denver International Airport,"The stay was OK, BUT you CAN be choosy in this area!","Hotel is in a great location to the airport but you'll pay for parking and using the gate is a hassle.  Hotel serves complimentary breakfast/evening snacks.  The rooms are decently sized and all have interior entrances, but our room had very little air circulation which made it a bit stuffy.  Also be prepared to have staff come in early to clean the room, and if you're not ready - you may miss out on getting that bed made.  There are not a lot of food options nearby, but if you are willing to drive about 10 minutes you'll find the usual chains, but you'll also pass a lot of other hotel options along the way.",3
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Very nice Hilton property located close to the new Denver airport.,"The Embassy suites on Yampa is a very nice Hilton property, and is located close to the new Denver airport. Friendly front desk staff,nice commons area including bar and restaurant,and very nice suites. Great bed and pillows.",5
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Housekeeping/Room Issues,"Dirty/Stained bathroom walls.  Housekeeping failed to show up.  There were many stains on the bathroom walls.  Housekeeping did not show up and I was told that my room could not be made/cleaned, etc. because the staff had left for the day",3
"Denver, CO",Embassy Suites by Hilton Denver International Airport,Enjoyed our stay very much.,"The hotel was very nice, the staff was exceptionally helpful. We enjoyed the manager's reception and the free breakfast. Just be forewarned this hotel is not in the city proper but it's easy to drive to any amenities you'd wish to find.",5
